Item,Quantity,Sell_Price,Buy_Price,Profit_Per_Item,Total_Profit,Seller,Seller_Warp,Seller_Stock,Buyer,Buyer_Warp,Buyer_Stock,Seller_Location,Buyer_Location,Seller_Timestamp,Buyer_Timestamp
Nether Wart Block,3451,2.0,5.0,3.0,10353.0,celticpiping,/warp celt,3451,Effortles,/warp sale,3456,4777 -49 -13202,-13468 -4 4377,2026-08-08 11:45:48,2026-05-29 11:30:28
Gravel,3068,1.0,4.0,3.0,9204.0,Hobosapian,/warp shopbo,3068,Allyri,/warp ri,3456,14596 75 -1413,-5238 175 -4789,2026-07-08 23:45:22,2026-06-23 23:38:36
Shroomlight,489,10.0,25.0,15.0,7335.0,MatsmitGlatz,/warp blockmart,489,SerSicerio,/warp serstore,2269,12393 75 -9893,-17625 159 18748,2026-08-08 11:38:45,2026-08-08 11:39:09
Book,991,3.0,10.0,7.0,6937.0,Dwarffles,/warp lidl,991,Effortles,/warp sale,3456,-3920 155 12321,-13446 -5 4367,2026-05-29 00:41:59,2026-07-05 11:21:12
Iron Ingot,1728,1.0,5.0,4.0,6912.0,Chijoku,/warp chi,3456,_RyanMC,/warp villager trading hall,1728,-11717 133 -10121,7121 34 12211,2026-05-29 00:03:49,2026-05-29 12:31:17
Nether Bricks,3456,1.0,3.0,2.0,6912.0,Soup__booty,/warp soupshop,3456,SerSicerio,/warp serstore,3456,9886 59 -12551,-17624 159 18748,2026-05-29 11:49:58,2026-08-07 08:18:00
Acacia Log,1728,4.0,8.0,4.0,6912.0,Hobosapian,/warp shopbo,1728,Effortles,/warp sale,3456,14599 77 -1418,-13430 -4 4377,2026-07-08 23:45:10,2026-05-29 11:28:52
Coal,2042,1.0,4.2,3.2,6534.400000000001,SerSicerio,/warp serstore,3456,Effortles,/warp sale,2302,-17662 158 18755,-13447 -5 4390,2026-08-07 08:18:11,2026-08-01 22:30:00
Brown Mushroom Block,3212,3.0,5.0,2.0,6424.0,Hobosapian,/warp shopbo,3212,Effortles,/warp sale,3456,14600 75 -1402,-13469 -4 4395,2026-07-08 23:45:57,2026-05-29 11:30:38
Jungle Log,3180,4.0,6.0,2.0,6360.0,AKoopa,/warp koopa,3355,Effortles,/warp sale,3456,13324 114 -6490,-13430 -4 4376,2026-05-30 10:27:57,2026-05-29 11:28:53
Oak Log,1405,1.0,5.0,4.0,5620.0,midwu,/warp panda,1405,FX_02,/warp 1,3456,15666 71 11959,8588 -40 -2004,2026-08-07 08:13:53,2026-05-26 23:57:53
Lapis Lazuli,1691,3.0,6.3,3.3,5580.299999999999,Hobosapian,/warp shopbo,2517,Effortles,/warp sale,3456,14615 75 -1402,-13446 -5 4390,2026-08-08 11:16:12,2026-05-29 11:26:44
Deepslate,2612,1.0,3.0,2.0,5224.0,celticpiping,/warp celt,3456,SerSicerio,/warp serstore,3456,4739 -44 -13272,-17615 159 18752,2026-08-08 11:48:40,2026-06-06 10:44:20
Dripstone Block,3351,2.5,4.0,1.5,5026.5,nathan812,/warp rockets,3456,Effortles,/warp sale,3456,12392 -2 5804,-13468 -4 4394,2026-05-29 11:25:39,2026-05-29 11:30:37
Magma Block,2481,3.0,5.0,2.0,4962.0,celticpiping,/warp celt,2481,SpaghettiPasta,/warp one,3392,4770 -50 -13215,4231 152 6871,2026-08-08 11:45:34,2026-05-29 10:56:04
Verdant Froglight,3456,0.15,1.58,1.4300000000000002,4942.080000000001,Hobosapian,/warp shopbo,3456,Allyri,/warp ri,3456,14620 75 -1405,-5263 175 -4850,2026-08-08 11:15:53,2026-05-29 11:21:50
Block of Bamboo,3227,1.0,2.5,1.5,4840.5,Dwarffles,/warp lidl,3456,Allyri,/warp ri,3227,-3917 154 12319,-5199 173 -4845,2026-05-29 00:41:57,2026-05-29 11:23:01
Ochre Froglight,3328,0.15,1.58,1.4300000000000002,4759.040000000001,Hobosapian,/warp shopbo,3456,Allyri,/warp ri,3328,14620 75 -1404,-5263 174 -4844,2026-08-08 11:15:54,2026-05-29 11:21:44
Cobbled Deepslate,2346,1.0,3.0,2.0,4692.0,celticpiping,/warp celt,3456,SerSicerio,/warp serstore,3456,4729 -45 -13279,-17616 159 18751,2026-08-08 11:49:04,2026-08-07 08:17:38
Basalt,1862,2.5,5.0,2.5,4655.0,Soup__booty,/warp soupshop,1862,saltzi,/warp villager trading hall,3456,9872 59 -12551,7129 33 12217,2026-05-29 11:49:28,2026-05-29 12:31:10
Mangrove Log,614,5.0,12.5,7.5,4605.0,MatsmitGlatz,/warp blockmart,614,FX_02,/warp 1,2881,12424 77 -9897,8584 -43 -2006,2026-08-08 11:30:56,2026-05-26 23:58:02
Raw Copper,3455,5.0,6.3,1.2999999999999998,4491.499999999999,will1608,/warp shopwill,3456,Effortles,/warp sale,3456,16745 72 -16859,-13438 -4 4400,2026-05-29 11:42:31,2026-05-29 11:29:27
Birch Log,2239,4.0,6.0,2.0,4478.0,AKoopa,/warp koopa,2239,Effortles,/warp sale,3456,13311 114 -6489,-13430 -4 4375,2026-05-30 10:27:24,2026-05-29 11:28:53
Mud,981,3.0,7.5,4.5,4414.5,MatsmitGlatz,/warp blockmart,981,FX_02,/warp 1,2896,12385 77 -9897,8595 -42 -2020,2026-08-08 11:30:26,2026-05-26 23:59:08
Block of Raw Iron,2207,75.0,77.0,2.0,4414.0,AKoopa,/warp koopa,2207,Dwarffles,/warp bulk sell,3456,13312 114 -6418,-4018 118 12335,2026-05-30 10:31:49,2026-08-08 11:13:59
Pearlescent Froglight,3014,0.15,1.58,1.4300000000000002,4310.02,Hobosapian,/warp shopbo,3456,Allyri,/warp ri,3014,14620 75 -1403,-5263 173 -4844,2026-08-08 11:15:54,2026-05-29 11:21:44
Cobblestone,1683,0.5,3.0,2.5,4207.5,Alisa12345,/warp shrimp shop,1683,SerSicerio,/warp serstore,3456,-7120 112 -17576,-17616 159 18760,2026-05-29 11:43:53,2026-08-07 08:17:31
Firework Rocket,2032,0.01,2.0,1.99,4043.68,Hobosapian,/warp shopbo,2488,_ZippyCastle5557,/warp zippyworld,3304,14614 75 -1418,-12392 75 -9786,2026-08-08 11:15:29,2026-07-01 21:28:15
Warped Fungus,616,1.0,7.5,6.5,4004.0,SerSicerio,/warp serstore,616,Killablob,/warp killashop,3456,-17619 158 18749,11575 72 -5276,2026-08-07 08:17:40,2026-05-30 11:12:46
Cow Spawner,2,8000.0,10000.0,2000.0,4000.0,celticpiping,/warp celt,2,Killablob,/warp killashop,3456,4740 -44 -13230,11600 72 -5290,2026-08-08 11:47:33,2026-05-30 11:14:30
Warped Stem,639,4.0,10.0,6.0,3834.0,celticpiping,/warp celt,639,Polite_player,/warp sell materials,3456,4776 -49 -13225,-19266 71 9325,2026-08-08 11:44:35,2026-07-06 10:08:24
Sunny Chestplate,4,50.0,1000.0,950.0,3800.0,Hobosapian,/warp shopbo,11,LenJr,/warp sky store,4,14601 77 -1410,16836 287 9273,2026-07-08 23:45:52,2026-05-29 11:46:45
Armor Stand,372,5.0,15.0,10.0,3720.0,celticpiping,/warp celt,372,FX_02,/warp 1,864,4740 -44 -13243,8597 -30 -2018,2026-08-08 11:47:42,2026-05-26 23:53:37
Stone,1545,0.65,3.0,2.35,3630.75,Alisa12345,/warp shrimp shop,1545,SerSicerio,/warp serstore,3456,-7120 113 -17576,-17616 159 18759,2026-05-29 11:43:57,2026-08-07 08:17:32
Cherry Log,881,2.0,6.0,4.0,3524.0,Ayame989,/warp village hall,881,Effortles,/warp sale,3456,-9077 70 13786,-13430 -4 4378,2026-06-05 22:01:46,2026-05-29 11:28:51
Packed Ice,1728,4.0,6.0,2.0,3456.0,tazrar,/warp farm stuff,1728,SerSicerio,/warp serstore,3456,17360 71 11836,-17617 159 18774,2026-05-29 00:27:53,2026-08-07 08:16:43
Magma Cream,1728,1.0,3.0,2.0,3456.0,Dwarffles,/warp lidl,1728,SpaghettiPasta,/warp one,3456,-3912 156 12321,4232 152 6872,2026-05-29 00:41:54,2026-05-29 10:56:02
Granite,1728,1.0,3.0,2.0,3456.0,Hobosapian,/warp shopbo,1728,SerSicerio,/warp serstore,3456,14596 77 -1406,-17616 159 18752,2026-07-08 23:45:29,2026-08-07 08:17:37
Diorite,1728,1.0,3.0,2.0,3456.0,Hobosapian,/warp shopbo,1728,SerSicerio,/warp serstore,3456,14596 77 -1407,-17616 159 18754,2026-07-08 23:45:30,2026-08-07 08:17:36
Andesite,1728,1.0,3.0,2.0,3456.0,Hobosapian,/warp shopbo,1728,SerSicerio,/warp serstore,3456,14596 77 -1408,-17616 159 18753,2026-07-08 23:45:30,2026-08-07 08:17:37
Block of Redstone,3456,0.01,1.0,0.99,3421.44,Chijoku,/warp chi,3456,Mio_TOT,/warp dark shop,3456,-11713 133 -10122,-13688 -8 181,2026-05-29 00:03:41,2026-05-30 13:04:11
Acacia Leaves,1708,1.0,3.0,2.0,3416.0,tazrar,/warp farm stuff,1708,AKoopa,/warp koopa,3270,17349 69 11847,13310 115 -6488,2026-05-29 00:29:02,2026-05-30 10:27:22
Mycelium,3381,5.0,6.0,1.0,3381.0,Killablob,/warp killashop,3456,SerSicerio,/warp serstore,3456,11538 70 -5242,-17616 159 18761,2026-05-30 10:39:06,2026-08-07 08:17:31
Sandstone,1867,0.7,2.5,1.8,3360.6,AKoopa,/warp koopa,2995,Crazy69,/warp crazysshop,3456,13251 114 -6480,-11787 65 15208,2026-05-30 10:21:47,2026-08-07 08:27:15
Pale Oak Log,1638,4.0,6.0,2.0,3276.0,Hobosapian,/warp shopbo,1638,Crazy69,/warp crazysshop,3456,14596 75 -1418,-11758 65 15208,2026-07-08 23:45:12,2026-08-07 08:28:17
Warped Nylium,1591,4.0,6.0,2.0,3182.0,Soup__booty,/warp soupshop,1591,SerSicerio,/warp serstore,3456,9888 61 -12556,-17627 159 18748,2026-05-29 11:50:16,2026-08-07 08:17:58
Dirt,3109,1.0,2.0,1.0,3109.0,HoboNova,/warp shopbo,3456,Effortles,/warp sale,3456,14596 75 -1403,-13446 -4 4362,2026-05-29 11:41:18,2026-05-29 11:31:22
Grass Block,2029,1.0,2.5,1.5,3043.5,celticpiping,/warp celt,2029,AKoopa,/warp koopa,2705,4803 -47 -13230,13255 115 -6479,2026-08-08 11:42:34,2026-05-30 10:21:50
End Stone,2112,1.0,2.3625,1.3624999999999998,2877.5999999999995,celticpiping,/warp celt,3456,Server,/shop,999999999,4747 -52 -13224,0 0 0,2026-08-08 11:46:27,2026-05-31 12:15:00
Observer,280,40.0,50.0,10.0,2800.0,AKoopa,/warp koopa,280,FX_02,/warp 1,2887,13305 113 -6422,8594 -36 -2004,2026-05-30 10:32:16,2026-05-26 23:55:02
Sunny Spear,18,50.0,200.0,150.0,2700.0,Hobosapian,/warp shopbo,18,_FireWilley,/warp wow,25,14601 77 -1412,18676 10 -7189,2026-07-08 23:45:54,2026-06-06 10:53:07
Warped Wart Block,1307,3.0,5.0,2.0,2614.0,Exestive,/warp luxeria,1790,Effortles,/warp sale,1307,9829 152 16213,-13468 -4 4376,2026-05-29 00:44:01,2026-05-29 11:30:27
Bone Block,1728,0.99,2.5,1.51,2609.28,midwu,/warp panda,1728,FX_02,/warp 1,3085,15696 71 11960,8586 -33 -2020,2026-08-07 08:14:08,2026-05-26 23:52:25
Tuff Bricks,861,1.0,4.0,3.0,2583.0,MaddysinLeigh,/warp 909mall,2224,SerSicerio,/warp serstore,861,8869 64 -13448,-17617 159 18773,2026-05-30 12:53:25,2026-08-07 08:16:42
Breeze Rod,3392,0.0,0.75,0.75,2544.0,TycoRC,/warp xp grinder,3392,_ZippyCastle5557,/warp zippyworld,3456,-1711 51 3403,-12419 75 -9806,2026-05-30 13:38:28,2026-07-01 21:24:31
Sugar Cane,1687,0.5,2.0,1.5,2530.5,iTzzMegawox,/warp fifodeals,2880,Polite_player,/warp sell materials,1752,-12645 -57 16125,-19268 71 9326,2026-05-29 00:33:50,2026-07-08 23:36:03
Mangrove Roots,2499,2.0,3.0,1.0,2499.0,czsunny12,/warp czshop,2499,AKoopa,/warp koopa,3456,7460 66 -10065,13314 115 -6494,2026-08-07 08:31:21,2026-05-30 10:27:38
Acacia Sapling,411,1.5,7.5,6.0,2466.0,czsunny12,/warp czshop,411,FX_02,/warp 1,1846,7466 67 -10091,8594 -43 -2004,2026-08-07 08:30:31,2026-05-26 23:57:31
Ink Sac,614,1.0,5.0,4.0,2456.0,Chijoku,/warp chi,3456,FX_02,/warp 1,614,-11726 134 -10126,8589 -37 -2020,2026-07-11 14:41:46,2026-05-26 23:56:23
Tuff,3392,3.0,3.72,0.7200000000000002,2442.2400000000007,emattj1s,/warp hideout,3456,Allyri,/warp ri,3392,-14430 -25 -322,-5234 175 -4789,2026-08-01 22:47:47,2026-05-29 11:18:16
White Concrete,1188,8.0,10.0,2.0,2376.0,Killablob,/warp killashop,1188,Puppies75200,/warp SellConcrete,3456,11521 70 -5266,5184 2 -13472,2026-05-30 10:42:42,2026-05-29 11:39:06
Cherry Sapling,948,5.0,7.5,2.5,2370.0,XTheMuffinManX95,/warp wood!,948,Killablob,/warp killashop,3456,9205 8 7799,11575 72 -5273,2026-05-29 12:35:46,2026-05-30 11:12:44
Dispenser,234,40.0,50.0,10.0,2340.0,NoWaterJustIce,/home jungle,234,FX_02,/warp 1,2980,-13308 288 8296,8594 -37 -2004,2026-08-08 10:09:22,2026-07-05 11:22:27
Sand,2304,3.0,4.0,1.0,2304.0,Hobosapian,/warp shopbo,2386,Dwarffles,/warp bulk sell,2304,14596 75 -1412,-4013 116 12338,2026-07-08 23:45:22,2026-08-08 11:14:23
Gunpowder,1383,0.35,2.0,1.65,2281.95,midwu,/warp panda,1728,Effortles,/warp sale,3456,15696 71 11956,-13448 -5 4372,2026-08-07 08:14:06,2026-05-29 11:28:01
Block of Diamond,30,800.0,875.0,75.0,2250.0,celticpiping,/warp celt,30,FX_02,/warp sell me ores,3456,4792 -44 -13241,-10054 135 3502,2026-08-08 11:41:56,2026-05-29 11:33:09
Copper Ingot,741,1.0,4.0,3.0,2223.0,Alisa12345,/warp shrimp shop,741,Mio_TOT,/warp soupshop,3158,-7112 113 -17576,-13688 -8 130,2026-05-29 11:44:09,2026-07-05 11:15:12
Spruce Leaves,1026,1.0,3.0,2.0,2052.0,tazrar,/warp farm stuff,1026,AKoopa,/warp koopa,3456,17347 69 11852,13325 115 -6491,2026-05-29 00:28:52,2026-05-30 10:27:55
Oak Sapling,777,5.0,7.5,2.5,1942.5,Groenmannetje,/warp tree nursery,777,Killablob,/warp killashop,1946,-15846 71 12982,11575 72 -5268,2026-05-29 11:51:44,2026-05-30 11:12:41
Yellow Concrete Powder,960,6.0,8.0,2.0,1920.0,MatsmitGlatz,/warp blockmart,1704,Puppies75200,/warp sellconcrete,960,12419 75 -9893,5193 0 -13470,2026-08-08 11:31:06,2026-08-08 11:31:33
Tinted Glass,160,3.0,15.0,12.0,1920.0,celticpiping,/warp celt,160,Effortles,/warp sale,3456,4811 -45 -13229,-13447 -5 4372,2026-08-08 11:42:57,2026-07-05 23:16:44
Crimson Fungus,317,1.5,7.5,6.0,1902.0,Soup__booty,/warp soupshop,317,Killablob,/warp killashop,3456,9882 61 -12556,11575 72 -5275,2026-05-29 11:49:54,2026-05-30 11:12:46
Block of Gold,14,85.0,220.0,135.0,1890.0,AKoopa,/warp koopa,14,FX_02,/warp sell me ores,1690,13318 113 -6420,-10051 134 3504,2026-05-30 10:31:43,2026-05-29 11:33:06
Birch Sapling,751,5.0,7.5,2.5,1877.5,Groenmannetje,/warp tree nursery,751,Killablob,/warp killashop,3456,-15840 71 12982,11575 72 -5267,2026-05-29 11:51:45,2026-05-30 11:12:40
Vines,1920,0.05,1.0,0.95,1824.0,Hobosapian,/warp shopbo,1920,Killablob,/warp killashop,3456,14601 75 -1408,11560 72 -5291,2026-07-08 23:45:42,2026-05-30 10:53:26
Dark Oak Log,1818,4.0,5.0,1.0,1818.0,celticpiping,/warp celt,1818,FX_02,/warp 1,3456,4763 -44 -13218,8585 -41 -2004,2026-08-08 11:43:58,2026-05-26 23:57:57
Orange Concrete Powder,896,6.0,8.0,2.0,1792.0,MatsmitGlatz,/warp blockmart,1135,Puppies75200,/warp sellconcrete,896,12418 75 -9893,5194 0 -13470,2026-08-08 11:31:10,2026-08-08 11:31:32
Oak Leaves,896,1.0,3.0,2.0,1792.0,tazrar,/warp farm stuff,896,AKoopa,/warp koopa,3456,17346 69 11849,13317 115 -6494,2026-05-29 00:28:53,2026-05-30 10:27:42
Clay,894,3.0,5.0,2.0,1788.0,Hobosapian,/warp shopbo,894,Effortles,/warp sale,3456,14596 75 -1410,-13468 -4 4393,2026-07-08 23:45:24,2026-05-29 11:30:37
Terracotta,1728,2.0,3.0,1.0,1728.0,AKoopa,/warp koopa,1728,madsxo,/warp one,2304,13264 114 -6494,4256 152 6853,2026-05-30 10:22:49,2026-05-29 10:51:40
Moss Block,1728,2.0,3.0,1.0,1728.0,Q_Papi,/warp one,2815,_FireWilley,/warp wow,1728,4228 152 6876,18709 16 -7151,2026-05-29 10:53:29,2026-08-07 08:20:55
Lime Concrete Powder,843,6.0,8.0,2.0,1686.0,MatsmitGlatz,/warp blockmart,1775,Puppies75200,/warp sellconcrete,843,12420 75 -9893,5192 0 -13470,2026-08-08 11:31:04,2026-08-08 11:31:34
Sunny Boots,24,50.0,120.0,70.0,1680.0,Hobosapian,/warp shopbo,24,AKoopa,/warp koopa,27,14601 77 -1408,13255 114 -6461,2026-07-08 23:45:51,2026-05-30 10:21:04
Diamond,48,65.0,100.0,35.0,1680.0,Alisa12345,/warp shrimp shop,48,Tyty42021,/warp tytys everything shop,3456,-7112 114 -17576,10428 37 9481,2026-05-29 11:44:08,2026-08-07 08:24:20
White Wool,3328,0.0,0.5,0.5,1664.0,Bonusmile,/warp free wool,3456,Effortles,/warp sale,3456,11263 112 -11997,-13464 -4 4400,2026-05-29 00:34:47,2026-05-29 11:30:07
Smooth Stone,3256,2.0,2.5,0.5,1628.0,HoboNova,/warp shopbo,3256,Effortles,/warp sale,3456,14596 75 -1407,-13440 -4 4362,2026-05-29 11:41:16,2026-05-29 11:31:38
Splash Potion,13,0.0,125.0,125.0,1625.0,Hobosapian,/warp shopbo,14,FX_02,/warp 1,13,14616 77 -1418,8599 -30 -2004,2026-08-08 11:15:40,2026-05-26 23:50:31
Netherrack,3175,0.75,1.26,0.51,1619.25,Soup__booty,/warp soupshop,3456,Allyri,/warp ri,3175,9866 59 -12554,-5263 174 -4808,2026-05-29 11:49:33,2026-05-29 11:21:10
Campfire,322,10.0,15.0,5.0,1610.0,celticpiping,/warp celt,322,Killablob,/warp killashop,3456,4740 -41 -13233,11575 72 -5245,2026-08-08 11:48:26,2026-05-30 10:37:03
Mangrove Leaves,1596,2.0,3.0,1.0,1596.0,Abbie_Kills,/warp decor,1596,AKoopa,/warp koopa,2048,18596 22 1012,13313 115 -6494,2026-05-29 00:11:13,2026-05-30 10:27:36
Scaffolding,1536,1.0,2.0,1.0,1536.0,Chijoku,/warp chi,1536,FX_02,/warp 1,2877,-11717 133 -10133,8595 -33 -2020,2026-05-29 00:04:05,2026-05-26 23:53:29
Honey Block,297,20.0,25.0,5.0,1485.0,Roseplug,/warp blue,297,Effortles,/warp sale,3456,-1812 81 6219,-13455 -4 4362,2026-05-28 23:32:59,2026-05-29 11:31:04
Lead,733,3.0,5.0,2.0,1466.0,Hobosapian,/warp shopbo,733,Effortles,/warp sale,3456,14615 77 -1405,-13444 -5 4372,2026-08-08 11:16:41,2026-05-29 11:27:59
Cracked Polished Blackstone Bricks,2926,3.5,4.0,0.5,1463.0,Soup__booty,/warp soupshop,2926,Effortles,/warp sale,3456,9870 59 -12551,-13430 -4 4365,2026-05-29 11:49:27,2026-05-29 11:28:40
Block of Quartz,143,25.0,35.0,10.0,1430.0,MatsmitGlatz,/warp blockmart,143,SerSicerio,/warp serstore,3456,12392 75 -9893,-17623 159 18748,2026-08-08 11:29:41,2026-08-07 08:18:03
Slimeball,1404,1.0,2.0,1.0,1404.0,Hobosapian,/warp shopbo,1404,Effortles,/warp sale,3456,14615 77 -1407,-13454 -4 4362,2026-08-08 11:16:39,2026-05-29 11:31:04
