Item,Quantity,Sell_Price,Buy_Price,Profit_Per_Item,Total_Profit,Seller,Seller_Warp,Seller_Stock,Buyer,Buyer_Warp,Buyer_Stock,Seller_Location,Buyer_Location,Seller_Timestamp,Buyer_Timestamp
Nether Wart Block,3451,2.0,5.0,3.0,10353.0,celticpiping,/warp celt,3451,Effortles,/warp sale,3456,4777 -49 -13202,-13468 -4 4377,2026-08-08 11:45:48,2026-05-29 11:30:28
Ghast Tear,4,2500.0,5000.0,2500.0,10000.0,Harmony_Gold_,/warp wood shop,4,FX_02,/warp 1,15,-6152 26 1451,8589 -35 -2020,2026-05-29 12:43:07,2026-08-16 14:41:14
Shroomlight,489,10.0,25.0,15.0,7335.0,MatsmitGlatz,/warp blockmart,489,SerSicerio,/warp serstore,2269,12393 75 -9893,-17625 159 18748,2026-08-08 11:38:45,2026-08-08 11:39:09
Book,991,3.0,10.0,7.0,6937.0,Dwarffles,/warp lidl,991,Effortles,/warp sale,3456,-3920 155 12321,-13446 -5 4367,2026-05-29 00:41:59,2026-07-05 11:21:12
Book,991,3.0,10.0,7.0,6937.0,Dwarffles,/warp lidl,991,Effortles,/warp sale,3456,-3920 155 12320,-13446 -5 4367,2026-07-05 11:20:48,2026-07-05 11:21:12
Nether Bricks,3456,1.0,3.0,2.0,6912.0,Soup__booty,/warp soupshop,3456,SerSicerio,/warp serstore,3456,9886 59 -12551,-17624 159 18748,2026-05-29 11:49:58,2026-08-07 08:18:00
Iron Ingot,1728,1.0,5.0,4.0,6912.0,Chijoku,/warp chi,3456,_RyanMC,/warp villager trading hall,1728,-11717 133 -10121,7121 34 12211,2026-05-29 00:03:49,2026-05-29 12:31:17
Acacia Log,1728,4.0,8.0,4.0,6912.0,Hobosapian,/warp shopbo,1728,Effortles,/warp sale,3456,14599 77 -1418,-13430 -4 4377,2026-07-08 23:45:10,2026-05-29 11:28:52
Deepslate,3328,1.0,3.0,2.0,6656.0,celticpiping,/warp celt,3328,SerSicerio,/warp serstore,3456,4731 -46 -13272,-17616 159 18750,2026-08-08 11:48:54,2026-08-07 08:17:39
Deepslate,3300,1.0,3.0,2.0,6600.0,celticpiping,/warp celt,3456,SerSicerio,/warp serstore,3456,4733 -44 -13272,-17615 159 18752,2026-08-08 11:48:50,2026-06-06 10:44:20
Coal,2042,1.0,4.2,3.2,6534.400000000001,SerSicerio,/warp serstore,3456,Effortles,/warp sale,2302,-17662 158 18755,-13447 -5 4390,2026-08-07 08:18:11,2026-08-01 22:30:00
Brown Mushroom Block,3212,3.0,5.0,2.0,6424.0,Hobosapian,/warp shopbo,3212,Effortles,/warp sale,3456,14600 75 -1402,-13469 -4 4395,2026-07-08 23:45:57,2026-05-29 11:30:38
Gravel,2100,1.0,4.0,3.0,6300.0,Hobosapian,/warp shopbo,3068,Allyri,/warp ri,3456,14596 75 -1413,-5240 174 -4788,2026-07-08 23:45:22,2026-05-29 11:18:22
Iron Ingot,2081,1.2,4.0,2.8,5826.799999999999,Soup__booty,/warp soupshop,2639,Crazy69,/warp crazysshop,2461,9835 59 -12551,-11789 65 15203,2026-05-29 11:48:14,2026-08-07 08:27:31
Oak Log,1405,1.0,5.0,4.0,5620.0,midwu,/warp panda,1405,FX_02,/warp 1,3456,15666 71 11959,8588 -40 -2004,2026-08-07 08:13:53,2026-05-26 23:57:53
Lapis Lazuli,1691,3.0,6.3,3.3,5580.299999999999,Hobosapian,/warp shopbo,2517,Effortles,/warp sale,3456,14615 75 -1402,-13446 -5 4390,2026-08-08 11:16:12,2026-05-29 11:26:44
Block of Bamboo,3456,1.0,2.5,1.5,5184.0,Dwarffles,/warp lidl,3456,Allyri,/warp ri,3456,-3917 155 12321,-5199 172 -4845,2026-05-29 00:41:57,2026-05-29 11:23:01
Gravel,1665,1.0,4.0,3.0,4995.0,celticpiping,/warp celt,3021,Allyri,/warp ri,3456,4793 -46 -13268,-5238 172 -4789,2026-08-08 11:39:57,2026-05-29 11:18:20
Iron Ingot,1242,1.0,5.0,4.0,4968.0,Chijoku,/warp chi,3456,Effortles,/warp sale,1242,-11717 133 -10121,-13444 -5 4390,2026-05-29 00:03:49,2026-05-29 11:26:46
Verdant Froglight,3456,0.15,1.58,1.4300000000000002,4942.080000000001,Hobosapian,/warp shopbo,3456,Allyri,/warp ri,3456,14620 75 -1405,-5263 175 -4850,2026-08-08 11:15:53,2026-05-29 11:21:50
Ochre Froglight,3456,0.15,1.58,1.4300000000000002,4942.080000000001,Hobosapian,/warp shopbo,3456,Allyri,/warp ri,3456,14620 75 -1404,-5263 174 -4850,2026-08-08 11:15:54,2026-05-29 11:21:50
Cobbled Deepslate,2346,1.0,3.0,2.0,4692.0,celticpiping,/warp celt,3456,SerSicerio,/warp serstore,3456,4729 -44 -13279,-17616 159 18751,2026-08-08 11:49:05,2026-08-07 08:17:38
Magma Block,2320,3.0,5.0,2.0,4640.0,celticpiping,/warp celt,3392,FX_02,/warp 1,3181,4770 -51 -13215,8584 -33 -2015,2026-08-08 11:45:34,2026-05-26 23:52:10
Block of Bamboo,3085,1.0,2.5,1.5,4627.5,Dwarffles,/warp lidl,3456,Allyri,/warp ri,3227,-3917 154 12319,-5199 173 -4845,2026-05-29 00:41:57,2026-05-29 11:23:01
Mangrove Log,614,5.0,12.5,7.5,4605.0,MatsmitGlatz,/warp blockmart,614,FX_02,/warp 1,2881,12424 77 -9897,8584 -43 -2006,2026-08-08 11:30:56,2026-05-26 23:58:02
Raw Copper,3456,5.0,6.3,1.2999999999999998,4492.799999999999,will1608,/warp shopwill,3456,Effortles,/warp sale,3456,16745 72 -16859,-13437 -6 4400,2026-05-29 11:42:31,2026-05-29 11:29:25
Birch Log,2239,4.0,6.0,2.0,4478.0,AKoopa,/warp koopa,2239,Effortles,/warp sale,3456,13311 114 -6489,-13430 -4 4375,2026-05-30 10:27:24,2026-05-29 11:28:53
Mud,981,3.0,7.5,4.5,4414.5,MatsmitGlatz,/warp blockmart,981,FX_02,/warp 1,2896,12385 77 -9897,8595 -42 -2020,2026-08-08 11:30:26,2026-05-26 23:59:08
Block of Raw Iron,2207,75.0,77.0,2.0,4414.0,AKoopa,/warp koopa,2207,Dwarffles,/warp bulk sell,3456,13312 114 -6418,-4018 118 12334,2026-05-30 10:31:49,2026-08-08 11:14:08
Pearlescent Froglight,3014,0.15,1.58,1.4300000000000002,4310.02,Hobosapian,/warp shopbo,3456,Allyri,/warp ri,3014,14620 75 -1403,-5263 173 -4844,2026-08-08 11:15:54,2026-05-29 11:21:44
Lapis Lazuli,999,2.0,6.3,4.3,4295.7,Mio_TOT,/warp dark shop,999,Effortles,/warp sale,3456,-13688 -10 137,-13446 -5 4390,2026-05-30 13:04:49,2026-05-29 11:26:44
Cobblestone,1683,0.5,3.0,2.5,4207.5,Alisa12345,/warp shrimp shop,1683,SerSicerio,/warp serstore,3456,-7120 112 -17576,-17616 159 18760,2026-05-29 11:43:53,2026-08-07 08:17:31
End Stone,2127,1.0,2.975,1.975,4200.825,celticpiping,/warp celt,3456,__server__,/shop,999999,4747 -52 -13224,SERVER_SELL_BLOCKS,2026-08-08 11:46:27,2026-08-16 13:47:37
Ghast Tear,1,800.0,5000.0,4200.0,4200.0,celticpiping,/warp celt,1,FX_02,/warp 1,15,4777 -47 -13207,8589 -35 -2020,2026-08-08 11:45:52,2026-08-16 14:41:14
Raw Copper,3456,5.1,6.3,1.2000000000000002,4147.200000000001,AKoopa,/warp koopa,3456,Effortles,/warp sale,3456,13317 113 -6432,-13439 -4 4400,2026-05-30 10:31:04,2026-05-29 11:29:27
Gravel,1356,1.0,4.0,3.0,4068.0,celticpiping,/warp celt,3021,Allyri,/warp ri,3456,4793 -46 -13268,-5240 174 -4788,2026-08-08 11:39:57,2026-05-29 11:18:22
Ender Pearl,445,3.0,12.0,9.0,4005.0,_ZippyCastle5557,/warp zippytrial,864,Effortles,/warp sale,445,-2025 -20 1276,-13442 -5 4372,2026-08-16 14:48:36,2026-07-01 21:04:51
Warped Fungus,616,1.0,7.5,6.5,4004.0,SerSicerio,/warp serstore,616,Killablob,/warp killashop,3456,-17619 158 18749,11575 72 -5276,2026-08-07 08:17:40,2026-05-30 11:12:46
Cow Spawner,2,8000.0,10000.0,2000.0,4000.0,celticpiping,/warp celt,2,AKoopa,/warp koopa,3456,4740 -44 -13230,13320 113 -6462,2026-08-08 11:47:33,2026-05-30 10:29:13
Basalt,1595,2.5,5.0,2.5,3987.5,Soup__booty,/warp soupshop,1862,saltzi,/warp villager trading hall,2432,9872 59 -12551,7129 34 12217,2026-05-29 11:49:28,2026-05-29 12:31:10
Sand,1989,2.0,4.0,2.0,3978.0,_ZippyCastle5557,/warp zippytrial,3180,Dwarffles,/warp bulk sell,2304,-2024 -20 1327,-4013 118 12338,2026-08-16 14:52:49,2026-08-08 11:14:25
Coal,3456,2.25,3.4,1.15,3974.3999999999996,Soup__booty,/warp soupshop,3456,__server__,/shop,999999,9845 59 -12551,SERVER_SELL_MINEABLES,2026-05-29 11:48:35,2026-08-16 13:47:35
End Stone,2012,1.0,2.975,1.975,3973.7000000000003,celticpiping,/warp celt,2012,__server__,/shop,999999,4747 -51 -13224,SERVER_SELL_BLOCKS,2026-08-08 11:46:27,2026-08-16 13:47:37
Mangrove Log,865,8.0,12.5,4.5,3892.5,Hobosapian,/warp shopbo,865,FX_02,/warp 1,2881,14600 75 -1418,8584 -43 -2006,2026-07-08 23:45:15,2026-05-26 23:58:02
Warped Stem,639,4.0,10.0,6.0,3834.0,celticpiping,/warp celt,639,Polite_player,/warp sell materials,3456,4776 -49 -13225,-19266 71 9325,2026-08-08 11:44:35,2026-07-06 10:08:24
Stone,1911,1.0,3.0,2.0,3822.0,AKoopa,/warp koopa,3456,SerSicerio,/warp serstore,3456,13264 114 -6486,-17616 159 18759,2026-05-30 10:23:14,2026-08-07 08:17:32
Sunny Chestplate,4,50.0,1000.0,950.0,3800.0,Hobosapian,/warp shopbo,11,LenJr,/warp sky store,4,14601 77 -1410,16836 287 9273,2026-07-08 23:45:52,2026-05-29 11:46:45
Gravel,1890,2.0,4.0,2.0,3780.0,MatsmitGlatz,/warp blockmart,3415,Allyri,/warp ri,2493,12412 77 -9897,-5241 172 -4788,2026-08-08 11:30:46,2026-05-29 11:18:23
Armor Stand,372,5.0,15.0,10.0,3720.0,celticpiping,/warp celt,372,FX_02,/warp 1,864,4740 -44 -13243,8597 -30 -2018,2026-08-08 11:47:42,2026-05-26 23:53:37
Stone,1545,0.65,3.0,2.35,3630.75,Alisa12345,/warp shrimp shop,1545,SerSicerio,/warp serstore,3456,-7120 113 -17576,-17616 159 18759,2026-05-29 11:43:57,2026-08-07 08:17:32
Acacia Log,896,4.0,8.0,4.0,3584.0,_ZippyCastle5557,/warp zippytrial,896,Effortles,/warp sale,3456,-2090 -20 1284,-13430 -4 4377,2026-08-16 14:46:12,2026-05-29 11:28:52
Shroomlight,208,8.0,25.0,17.0,3536.0,celticpiping,/warp celt,208,SerSicerio,/warp serstore,2269,4777 -47 -13203,-17625 159 18748,2026-08-08 11:45:50,2026-08-08 11:39:09
Cherry Log,881,2.0,6.0,4.0,3524.0,Ayame989,/warp village hall,881,Effortles,/warp sale,3456,-9077 70 13786,-13430 -4 4378,2026-06-05 22:01:46,2026-05-29 11:28:51
Cobbled Deepslate,3456,1.0,2.0,1.0,3456.0,celticpiping,/warp celt,3456,Effortles,/warp sale,3456,4729 -45 -13281,-13435 -4 4362,2026-08-08 11:49:07,2026-05-29 11:31:35
Cobblestone,3456,1.0,2.0,1.0,3456.0,celticpiping,/warp celt,3456,MissLion1997,/warp blue,3456,4806 -45 -13259,-1823 75 6162,2026-08-08 11:40:24,2026-05-28 23:31:40
Dripstone Block,1728,2.0,4.0,2.0,3456.0,Amandox,/warp celt,1728,SerSicerio,/warp serstore,3456,4897 -50 -13368,-17617 159 18776,2026-08-08 11:54:57,2026-08-07 08:16:44
