Item,Seller,Sell_Price,Buy_Price,Margin_Per_Item,Seller_Warp,Seller_Location,Seller_Timestamp,Buyer_Timestamp
Written Book,Dwarffles,100.0,1150000.0,1149900.0,/warp treefarm,-4083 105 3645,2026-05-29 11:52:15,2026-05-28 23:41:28
Written Book,Dwarffles,100.0,950000.0,949900.0,/warp treefarm,-4083 105 3645,2026-05-29 11:52:15,2026-05-28 23:41:27
Written Book,Dwarffles,100.0,750000.0,749900.0,/warp treefarm,-4083 105 3645,2026-05-29 11:52:15,2026-05-28 23:41:26
Written Book,Dwarffles,100.0,600000.0,599900.0,/warp treefarm,-4083 105 3645,2026-05-29 11:52:15,2026-05-28 23:41:41
Written Book,Dwarffles,100.0,500000.0,499900.0,/warp treefarm,-4083 105 3645,2026-05-29 11:52:15,2026-05-28 23:41:42
Written Book,Dwarffles,100.0,450000.0,449900.0,/warp treefarm,-4083 105 3645,2026-05-29 11:52:15,2026-05-28 23:41:43
Written Book,Dwarffles,100.0,350000.0,349900.0,/warp treefarm,-4083 105 3645,2026-05-29 11:52:15,2026-05-28 23:41:40
Written Book,Dwarffles,100.0,200000.0,199900.0,/warp treefarm,-4083 105 3645,2026-05-29 11:52:15,2026-05-28 23:41:17
Written Book,Dwarffles,100.0,150000.0,149900.0,/warp treefarm,-4083 105 3645,2026-05-29 11:52:15,2026-05-28 23:41:16
Written Book,Dwarffles,100.0,100000.0,99900.0,/warp treefarm,-4083 105 3645,2026-05-29 11:52:15,2026-05-28 23:41:18
Written Book,Dwarffles,100.0,50000.0,49900.0,/warp treefarm,-4083 105 3645,2026-05-29 11:52:15,2026-05-28 23:41:15
Written Book,Dwarffles,100.0,30000.0,29900.0,/warp treefarm,-4083 105 3645,2026-05-29 11:52:15,2026-05-28 23:40:52
Written Book,Dwarffles,100.0,20000.0,19900.0,/warp treefarm,-4083 105 3645,2026-05-29 11:52:15,2026-05-28 23:40:55
Written Book,Dwarffles,100.0,10000.0,9900.0,/warp treefarm,-4083 105 3645,2026-05-29 11:52:15,2026-05-28 23:40:56
Written Book,Dwarffles,100.0,5000.0,4900.0,/warp treefarm,-4083 105 3645,2026-05-29 11:52:15,2026-05-28 23:40:54
Written Book,Dwarffles,100.0,2000.0,1900.0,/warp treefarm,-4083 105 3645,2026-05-29 11:52:15,2026-05-28 23:40:57
Music Disc,Ser_Sicerio,100.0,500.0,400.0,/warp serstore,-17627 158 18793,2026-05-26 09:43:28,2026-05-26 09:43:57
