Shop Location,Shop Owner,Item,Stock/Space,Price,Action,Status,Timestamp,Warp
18681 45 -9124,Mysticals_,Dark Prismarine,3456,20,BUYING,Active,2026-05-26 09:25:13,/warp rismarine
-5862 29 2108,midwu,Sunny Rod,0,12342,SELLING,Dead,2026-05-26 09:34:39,?
-17636 158 18748,Ser_Sicerio,Beacon,0,1,SELLING,out of stock,2026-05-26 09:37:08,/warp serstore
-17630 158 18748,Ser_Sicerio,Crimson Nylium,0,10,SELLING,out of stock,2026-05-26 09:37:15,/warp serstore
-17622 158 18749,Ser_Sicerio,Gilded Blackstone,0,100,SELLING,out of stock,2026-05-26 09:37:27,/warp serstore
-17622 159 18748,Ser_Sicerio,Gilded Blackstone,3456,50,BUYING,Active,2026-05-26 09:37:27,/warp serstore
-17619 161 18747,Ser_Sicerio,Beacon,0,1,SELLING,out of stock,2026-05-26 09:37:34,/warp serstore
-17616 159 18761,SerSicerio,Mycelium,3456,6,BUYING,Active,2026-08-07 08:17:31,/warp serstore
-17617 158 18762,Ser_Sicerio,Gravel,0,3,SELLING,out of stock,2026-05-26 09:37:58,/warp serstore
-17616 159 18762,Ser_Sicerio,Gravel,3456,2,BUYING,Active,2026-05-26 09:37:59,/warp serstore
-17616 159 18763,Ser_Sicerio,Grass Block,3456,1.5,BUYING,Active,2026-05-26 09:38:00,/warp serstore
-17617 158 18763,Ser_Sicerio,Grass Block,0,3,SELLING,out of stock,2026-05-26 09:38:01,/warp serstore
-17616 161 18764,Ser_Sicerio,Dried Ghast,0,1,SELLING,out of stock,2026-05-26 09:38:04,/warp serstore
-17621 158 18756,Ser_Sicerio,Chainmail Chestplate,20,29,SELLING,Active,2026-05-26 09:39:04,/warp serstore
-17621 158 18755,Ser_Sicerio,Chainmail Leggings,13,29,SELLING,Active,2026-05-26 09:39:05,/warp serstore
-17634 158 18756,SerSicerio,Pig Spawn Egg,0,30000,SELLING,out of stock,2026-08-07 08:17:09,/warp serstore
-17633 158 18756,SerSicerio,Cow Spawner,0,40000,SELLING,out of stock,2026-08-07 08:17:09,/warp serstore
